🎉 CSP v0.2.11 b3465, enabled, date & time: 2026-01-19T23:47:14:900.
✨ Do not use this log file, because its format will change.
     51     M 🚨 Failed to load AC cached map: Failed to open file
    7f1     M ✅   All 2373 functions were found successfully
    9dd     M 💬 Importing DLL: python33.dll
    9e2     M 💬 Importing DLL: openvr_api.dll
    a5a     M 💬 Loaded icon from DLL
   10d3     M 💬 CPU: AMD Ryzen 7 7445HS w/ Radeon 740M Graphics
   10d3     M ✅ Extension `Rain FX` disabled: not available yet
   10d5     M 💬 PPAA: using FXAA 3.11
   10f8     M ✅ Extension `New Modes` disabled: not selected
   10f8     M ✅ Extension `Walking Out` disabled: not available in this mode
   10f8  5044 💬 Skidmarks fading: 20472.8 days massed, mult.: 0.000, offset: 20472.781 KB
   10f8  5044 💬 Skipping skidmarks load: data is faded to 0 anyway
   10f8  5044 💬 Creating skidmarks renderer: 20000 particles
   111d     M ✅ Extension `Custom Rendering Modes` disabled: custom mode is not selected
   1121     M ✅ Extension `Mumble Plugin` disabled: available in online race only
   16e8  2d64 💬 Checking 'C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\content\tracks\shuto_revival_project_beta\ui\main_layout': 0, mode=0
   16e8  2d64 🚨 Directory missing: 'C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\extension\backgrounds'
   16e8  2d64 🚨 Directory missing: 'C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\extension\backgrounds'
   16e8  2d64 🚨 Directory missing: 'C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\extension\backgrounds'
   16e8  2d64 🚨 Directory missing: 'C:\Users\world\Documents\Assetto Corsa\screens'
   16e8  2d64 💬 Checking 'C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\content\tracks\shuto_revival_project_beta\ui\main_layout': 0, mode=0
   16e8  2d64 🚨 Directory missing: 'C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\extension\backgrounds'
   16e8  2d64 🚨 Directory missing: 'C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\extension\backgrounds'
   16e8  2d64 🚨 Directory missing: 'C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\extension\backgrounds'
   16e8  2d64 🚨 Directory missing: 'C:\Users\world\Documents\Assetto Corsa\screens'
   16eb  2d64 💬 Checking 'C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\launcher\themes\default\graphics\bgr': 9, mode=0
   16eb  2d64 ✅ Resulting image: 'C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\launcher\themes\default\graphics\bgr\pointcloud_bg09.png'
   16eb  2d64 🚀 Looking for background: separate thread: 3420.50 μs
   170f     M 💬 Now mapping: 0, is successful: 1, texture: 000001E5A97B1020, data: 000001E5D3730000, row pitch: 128, depth pitch: 8192
   1747     M 💬 Unmapping: 000001E5A97B1020
   1747     M 🚀 Cropping outline: 95682.60 μs
   1749     M 🚨 Skipping a frame!
   1767     M ✅ Sim initialization started
   179e     M 💬 Changing shadow resolution: 2048, splits=4
   1b0c     M 💬 ODE flags: ODE ODE_EXT_no_debug ODE_EXT_trimesh ODE_EXT_opcode ODE_OPC_16bit_indices ODE_OPC_new_collider ODE_EXT_mt_collisions ODE_EXT_threading ODE_double_precision
   1b20     M 💬 There is no script for loading screen
   1b6a     M ✅ Loading configs for shuto_revival_project_beta, config: main_layout
   1b70     M ✅ Config for shuto_revival_project_beta found: C:\Program Files (x86)\Steam\steamapps\common\assettocorsa\content\tracks\shuto_revival_project_beta\extension\ext_config.ini
   1b94     M ✅ Weather FX: reload settings
   1b98     M ✅ Weather ID: 3_clear, detected type: 15
   1baf     M ✅ Weather FX: track timezone=Asia/Tokyo, base offset=9, DST offset=0
   1baf     M ✅ Estimated timezone for longitude=139.7°: 9.32 hours, actual value: 9.00 hours
   1bb0     M ✅ Weather FX: start time=67641 (2026-01-19 18:47:21)
   1bb0     M ✅ Weather FX: start date=1768780800
   1bb0     M 💬 Weather FX time state: start_date_local=1768780800, offline: 1, replay: 0
   1bb4     M 💬 Delaying loading of Lua script ac_wfx_impl
   1bb6     M 🚀 Loading Lua script [Weather FX impl.]: 4714.30 μs
   1bb7     M 💬 Delaying loading of Lua script ac_wfx_controller
   1bb7     M 🚀 Loading Lua script [Weather FX controller]: 126.60 μs
